state,district,annual
ANDAMAN_And_NICOBAR_ISLANDS,NICOBAR,233.75
ANDAMAN_And_NICOBAR_ISLANDS,SOUTH ANDAMAN,251.25
ANDAMAN_And_NICOBAR_ISLANDS,N & M ANDAMAN,242.75
ARUNACHAL_PRADESH,LOHIT,253.5833333
ARUNACHAL_PRADESH,EAST SIANG,336.1666667
ARUNACHAL_PRADESH,SUBANSIRI F.D,108.3333333
ARUNACHAL_PRADESH,TIRAP,297.5833333
ARUNACHAL_PRADESH,ANJAW (LOHIT),253.5833333
ARUNACHAL_PRADESH,LOWER DIBANG,212.75
ARUNACHAL_PRADESH,CHANGLANG,295.25
ARUNACHAL_PRADESH,PAPUM PARE,281.5
ARUNACHAL_PRADESH,LOW SUBANSIRI,160.0833333
ARUNACHAL_PRADESH,UPPER SIANG,366.8333333
ARUNACHAL_PRADESH,WEST SIANG,203.3333333
ARUNACHAL_PRADESH,DIBANG VALLEY,212.75
ARUNACHAL_PRADESH,WEST KAMENG,283.25
ARUNACHAL_PRADESH,EAST KAMENG,169.1666667
ARUNACHAL_PRADESH,TAWANG(W KAME,283.25
ARUNACHAL_PRADESH,KURUNG KUMEY,185.0833333
ASSAM,CACHAR,249.9166667
ASSAM,DARRANG,163.0833333
ASSAM,GOALPARA,214.5833333
ASSAM,KAMRUP,151.0833333
ASSAM,LAKHIMPUR,238.25
ASSAM,NORTH CACHAR,164.75
ASSAM,NAGAON,138.3333333
ASSAM,SIVASAGAR,150.9166667
ASSAM,BARPETA,272.8333333
ASSAM,DHUBRI,225.1666667
ASSAM,DIBRUGARH,213
ASSAM,JORHAT,173.5833333
ASSAM,KARIMGANJ,304.1666667
ASSAM,KOKRAJHAR,314.3333333
ASSAM,SHONITPUR,164.8333333
ASSAM,GOLAGHAT,140
ASSAM,TINSUKIA,207.0833333
ASSAM,HAILAKANDI,220.4166667
ASSAM,DHEMAJI(LAKHI,238.25
ASSAM,KARBI ANGLONG,111.75
ASSAM,UDALGURI(DARA,163.0833333
ASSAM,KAMRUP METROP,151.0833333
ASSAM,CHIRANG(BONGAI,268.1666667
ASSAM,BAKSA BARPETA,272.8333333
ASSAM,BONGAIGAON,268.1666667
ASSAM,MORIGAON,145.25
ASSAM,NALBARI,196.3333333
MEGHALAYA,EAST KHASI HI,513.8333333
MEGHALAYA,JAINTIA HILLS,531.5833333
MEGHALAYA,EAST GARO HIL,212.8333333
MEGHALAYA,RI-BHOI,176.3333333
MEGHALAYA,SOUTH GARO HI,204.9166667
MEGHALAYA,W KHASI HILL,303.5833333
MEGHALAYA,WEST GARO HIL,204.9166667
MANIPUR,IMPHAL EAST,153.25
MANIPUR,SENAPATI,160.1666667
MANIPUR,TAMENGLONG,602.4166667
MANIPUR,CHANDEL,220.5833333
MANIPUR,UKHRUL,129.0833333
MANIPUR,THOUBAL,107.1666667
MANIPUR,BISHNUPUR,177.25
MANIPUR,IMPHAL WEST,127.5
MANIPUR,CHURACHANDPUR,194.75
MIZORAM,AIZAWL,234.5
MIZORAM,CHAMPHAI,180.6666667
MIZORAM,KOLASIB,221.6666667
MIZORAM,LUNGLEI,227.5833333
MIZORAM,CHHIMTUIPUI,234.5
MIZORAM,LAWNGTLAI,213.0833333
MIZORAM,MAMIT,234.5
MIZORAM,SAIHA,206.6666667
MIZORAM,SERCHHIP,208.75
NAGALAND,KOHIMA,152
NAGALAND,TUENSANG,173.3333333
NAGALAND,MOKOKCHUNG,200.75
NAGALAND,DIMAPUR,108.75
